date,url,imported
2020-02-04,https://opengov.360online.com/Meetings/vgregion/File/Details/2296236.PDF,0
2020-05-19,https://opengov.360online.com/Meetings/vgregion/File/Details/2384679.PDF,0
2020-06-09,https://opengov.360online.com/Meetings/vgregion/File/Details/2403137.PDF,0
2020-09-22,https://opengov.360online.com/Meetings/vgregion/File/Details/2480552.PDF,0
2020-11-30,https://opengov.360online.com/Meetings/vgregion/File/Details/2552733.PDF,0
2020-12-21,https://opengov.360online.com/Meetings/vgregion/File/Details/2566562.PDF,0
2021-02-16,https://opengov.360online.com/Meetings/vgregion/File/Details/2633347.PDF,0
2021-04-13,https://opengov.360online.com/Meetings/vgregion/File/Details/2688469.PDF,0
2021-05-18,https://opengov.360online.com/Meetings/vgregion/File/Details/2722803.PDF,0
2021-06-07,https://opengov.360online.com/Meetings/vgregion/File/Details/2742475.PDF,0
2021-09-21,https://opengov.360online.com/Meetings/vgregion/File/Details/2823530.PDF,0
2021-10-26,https://opengov.360online.com/Meetings/vgregion/File/Details/2858349.PDF,0
2021-11-30,https://opengov.360online.com/Meetings/vgregion/File/Details/2894971.PDF,0
2022-02-22,https://opengov.360online.com/Meetings/vgregion/File/Details/2979536.PDF,0
2022-04-12,https://opengov.360online.com/Meetings/vgregion/File/Details/3027502.PDF,0
2022-05-24,https://opengov.360online.com/Meetings/vgregion/File/Details/3065333.PDF,0
2022-06-13,https://opengov.360online.com/Meetings/vgregion/File/Details/3083480.PDF,0
2022-10-11,https://opengov.360online.com/Meetings/vgregion/File/Details/3169743.PDF,0
2022-10-25,https://opengov.360online.com/Meetings/vgregion/File/Details/3181581.PDF,0
2022-11-29,https://opengov.360online.com/Meetings/vgregion/File/Details/3221198.PDF,0
