date,url,archive-url,imported
2020-02-04,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-02-04/protokoll-rf-20200204.pdf,https://web.archive.org/web/20230102152305/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-02-04/protokoll-rf-20200204.pdf,0
2020-04-07,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-04-07/protokoll-rf-2020-04-07.pdf,https://web.archive.org/web/20230102152418/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-04-07/protokoll-rf-2020-04-07.pdf,0
2020-06-08,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-06-08/protokoll-rf-2020-06-08.pdf,https://web.archive.org/web/20230102152649/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-06-08/protokoll-rf-2020-06-08.pdf,0
2020-08-25,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-08-25/protokoll-rf-2020-08-25.pdf,https://web.archive.org/web/20230109133655/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-08-25/protokoll-rf-2020-08-25.pdf,0
2020-11-03,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-11-03/protokoll-rf-2020-11-03.pdf,https://web.archive.org/web/20230109145637/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-11-03/protokoll-rf-2020-11-03.pdf,0
2020-12-01,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-12-01-02/protokoll-rf-2020-12-01-02.pdf,https://web.archive.org/web/20230109151519/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2020/2020-12-01-02/protokoll-rf-2020-12-01-02.pdf,0
2021-02-09,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-02-09/protokoll-regionfullmaktige-2021-02-09.pdf,https://web.archive.org/web/20230109151718/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-02-09/protokoll-regionfullmaktige-2021-02-09.pdf,0
2021-04-13,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-04-13/protokoll-rf-2021-04-13.pdf,https://web.archive.org/web/20230124131018/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-04-13/protokoll-rf-2021-04-13.pdf,0
2021-06-22,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-06-22/protokoll-regionfullmaktige-2021-06-22.pdf,https://web.archive.org/web/20230124131226/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-06-22/protokoll-regionfullmaktige-2021-06-22.pdf,0
2021-08-31,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-08-31/protokoll-rf-2021-08-31.pdf,https://web.archive.org/web/20230124131402/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-08-31/protokoll-rf-2021-08-31.pdf,0
2021-10-05,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-10-05/protokoll-rf-2021-10-05.pdf,https://web.archive.org/web/20230124131435/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-10-05/protokoll-rf-2021-10-05.pdf,0
2021-11-09,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-11-09-10/protokoll-rf-2021-11-09-10.pdf,https://web.archive.org/web/20230124131624/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-11-09-10/protokoll-rf-2021-11-09-10.pdf,0
2021-12-07,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-12-07/protokoll-rf-2021-12-07.pdf,https://web.archive.org/web/20230124131746/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2021/2021-12-07/protokoll-rf-2021-12-07.pdf,0
2022-02-08,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-02-08/protokoll-rf-2022-02-08.pdf,https://web.archive.org/web/20230124131904/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-02-08/protokoll-rf-2022-02-08.pdf,0
2022-04-19,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-04-19/protokoll-rf-2022-04-19.pdf,https://web.archive.org/web/20230124131936/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-04-19/protokoll-rf-2022-04-19.pdf,0
2022-06-14,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-06-14/protokoll-rf-2022-06-14.pdf,https://web.archive.org/web/20230124132854/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-06-14/protokoll-rf-2022-06-14.pdf,0
2022-08-30,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-08-30/protokoll-rf-2022-08-30.pdf,https://web.archive.org/web/20230124132928/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-08-30/protokoll-rf-2022-08-30.pdf,0
2022-10-04,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-10-04/protokoll-rf-2022-10-04.pdf,https://web.archive.org/web/20230124133019/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-10-04/protokoll-rf-2022-10-04.pdf,0
2022-11-08,https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-11-08/protokoll-rf-2022-11-08.pdf,https://web.archive.org/web/20230124133050/https://www.rjl.se/globalassets/rjl/demokrati/regionfullmaktige/2022/rf-2022-11-08/protokoll-rf-2022-11-08.pdf,0
